video_id,video_title,channel,comment_text,author,author_channel_url,like_count,published_at,reply_count,is_reply,reply_to,lang_code,language,sentiment_scores,region,sentiment,sentiment_label,sentiment_positive,sentiment_negative,sentiment_neutral
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,Visit OdinSchool https://hubs.la/Q03gy5Sr0,@MahiNergy,http://www.youtube.com/@MahiNergy,300,2025-04-09T14:08:53Z,72,False,,en,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0.0,neutral,0.0,0.0,1.0
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,Why only hate Karnataka  and kannad  if I am in Mumbai  I start taking kannad obviously  they ask him to talk in hindi or marathi,@Zyra27,,7,2025-04-09T15:27:34Z,0,True,@MahiNergy,en,English,"{'compound': -0.5719, 'positive': 0.0, 'negative': 0.134, 'neutral': 0.866, 'sentiment': 'negative'}",All India,-0.5719,negative,0.0,0.134,0.866
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,@@Zyra27 They ask you to talk in Marathi. Why should Mumbaikars living in Mumbai learn Hindi?,@Unknown-m4x5w,,4,2025-04-09T16:18:09Z,0,True,@MahiNergy,en,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0.0,neutral,0.0,0.0,1.0
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,simple solution he bro . itna technology advance hua he . mobile me translator ata he wo use kar sakte he aap . itna rage aur video banane ka kya fayada tumhara . We just need device which listen our language and talk loud in local language. why u telling them to learn that language. technology jaye bhaad me ham to language sikhne me pura life gawa denge,@RedWolf-oo1,,4,2025-04-09T17:15:23Z,0,True,@MahiNergy,en,English,"{'compound': -0.3182, 'positive': 0.032, 'negative': 0.05, 'neutral': 0.918, 'sentiment': 'negative'}",All India,-0.3182,negative,0.032,0.05,0.918
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,Project kira shall begin fr 🤬,@UnoReverse-k7q,,1,2025-04-09T17:56:56Z,0,True,@MahiNergy,en,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0.0,neutral,0.0,0.0,1.0
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,Bhai video Adhura Laga Aur Topic mein baat nahin hue,@homundagamer4903,,2,2025-04-09T18:31:36Z,0,True,@MahiNergy,id,id,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0.0,neutral,0.0,0.0,1.0
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,"We all non-Hindi States should be United against Hindi Imposition , we have no problem with Hindi language but problem is with some people's forced Hindi Imposition , from WB ❤️❤️",@ssgreat-y6f,http://www.youtube.com/@ssgreat-y6f,1,2025-10-08T14:01:28Z,0,False,,en,English,"{'compound': -0.7202, 'positive': 0.086, 'negative': 0.184, 'neutral': 0.73, 'sentiment': 'negative'}",All India,-0.7202,negative,0.086,0.184,0.73
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,Ab jo bhi odisha ayega...use odia bolnaa padegaa..,@S..k..grider07,http://www.youtube.com/@S..k..grider07,0,2025-10-06T05:46:12Z,0,False,,so,so,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0.0,neutral,0.0,0.0,1.0
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,Last tk dekha brother ❤,@Poorvansh99,http://www.youtube.com/@Poorvansh99,0,2025-10-05T16:13:15Z,0,False,,en,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0.0,neutral,0.0,0.0,1.0
nr_Cw9gCL5c,Language War in INDIA Explained,MahiNergy,Respect south language from UP do not impose hindi please,@RamJiyavanUpadhyay,http://www.youtube.com/@RamJiyavanUpadhyay,0,2025-10-04T21:09:01Z,0,False,,en,English,"{'compound': 0.4635, 'positive': 0.358, 'negative': 0.141, 'neutral': 0.502, 'sentiment': 'positive'}",All India,0.4635,positive,0.358,0.141,0.502
