video_title,channel,comment_text,author,language,sentiment_scores,region,sentiment,sentiment_label,sentiment_positive,sentiment_negative,sentiment_neutral
The Big Fight over language,NDTV,"Sardar Vallabhbhai Patel already unified 565 Princely states in UNION Of INDIA, NOW IN THE NAME OF UNITY OF INDIA HINDI SHOULD NOT BE MADE INDIAN NATIONAL LANGUAGE OR Link Language OR Unifying INDIA Language, India have multi Religion, multi Languages, and multi states Nation is India, Like European union, and Like USA, INDIA HAS FEDERAL SYSTEM OF GOVERNMENT IN INDIA, India is a Union of States therefore Central Government must Implement all 22 Languages are Central Government Official Languages are Central Government Official Launguages and Central Government must give equal Job opportunities for all states students in Central Government offices all over India, Central Government must give funds to Create Research faciality Each and every field and each and every taluk in all the states all over India, Central Government must give full authority to Educate their own states students themselves in all the states all over India, This way we can keep India UNITED and we can make NEW INDIA.",@ignatiuslobo4526,English,"{'compound': 0.9341, 'positive': 0.1, 'negative': 0.0, 'neutral': 0.9, 'sentiment': 'positive'}",All India,0.9341,positive,0.1,0,0.9
The Big Fight over language,NDTV,It is a good idea not to be a fanatic...,@shaijujose9165,English,"{'compound': 0.4404, 'positive': 0.244, 'negative': 0.0, 'neutral': 0.756, 'sentiment': 'positive'}",All India,0.4404,positive,0.244,0,0.756
The Big Fight over language,NDTV,"Hindi is full of Urdu words, so south Indian languages are more ""Indian"" than Hindi😆",@paulninan7580,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,Realistic point of view : this people send their children to english medium school and they advised others in local language so that they can't compete with their children anymore,@pranabDevanath-e8i,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,The girl sitting behind the host in white dress is cute 😊😊,@vishnumaharaja7199,English,"{'compound': 0.4588, 'positive': 0.2, 'negative': 0.0, 'neutral': 0.8, 'sentiment': 'positive'}",All India,0.4588,positive,0.2,0,0.8
The Big Fight over language,NDTV,She looks like jenna Ortega 😯,@vishnumaharaja7199,Estonian,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0,neutral,0,0,1
The Big Fight over language,NDTV,Ya she caught my eye too😂,@Free-zp1rz,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,​@Free-zp1rz😂😂,@vishnumaharaja7199,English,"{'compound': 0.5106, 'positive': 0.524, 'negative': 0.0, 'neutral': 0.476, 'sentiment': 'positive'}",All India,0.5106,positive,0.524,0,0.476
The Big Fight over language,NDTV,Came here for my English listening test 😅😅,@suhasdjs,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,Myself too bro 😂😂,@vishnumaharaja7199,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,😂,@Sriram31_07,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,Hindi theriyathu mooditu poda,@arulpremdaniel,English,"{'compound': 0.0, 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'sentiment': 'neutral'}",All India,0,neutral,0,0,1
The Big Fight over language,NDTV,I am telugu i support tamil people,@Optimist.143,It,"{'compound': 0.0, 'positive': 0, 'negative': 0, 'neutral': 1.0, 'subjectivity': 0.0, 'sentiment': 'neutral'}",Unknown Region,0,neutral,0,0,1
